orderid,date,prodnumber,prodname,categoryname,customerid,firstname,lastname,customercity,customerstate,quantity,price,total
2763,2021-08-14,EB504,Cartesian Robots,eBooks,1746,Stormy,Ibbs,Pasadena,California,2,12.99,25.98
2764,2021-08-15,TV806,Mapping with Drones,Training Videos,281,Malvin,Ousley,Boynton Beach,Florida,4,49,196
2765,2021-08-15,EB501,Articulated Robots,eBooks,1581,Darrel,Taunton,San Francisco,California,3,23.99,71.97
2766,2021-08-15,TV810,Understanding Automation,Training Videos,1381,Barbabra,Dows,San Diego,California,6,44.95,269.70000000000005
2767,2021-08-16,EB504,Cartesian Robots,eBooks,400,Grant,Scandrett,Lexington,Kentucky,2,12.99,25.98
2768,2021-08-16,EB520,Understanding Arduino,eBooks,1399,Marco,Buckmaster,Detroit,Michigan,2,17.5,35
2769,2021-08-16,TV802,AI for Educators,Training Videos,881,Deane,Bromage,Bellevue,Washington,5,49.95,249.75
2770,2021-08-16,TV812,Understanding Raspberry PI,Training Videos,225,Ben,Yitzhok,Albany,New York,3,28.99,86.97
2771,2021-08-17,EB514,Polar Robots,eBooks,1890,Waylen,O'Mohun,Washington,District of Columbia,2,23.99,47.98
2772,2021-08-17,EB502,Building Your First Robot,eBooks,1395,Letitia,Geare,Killeen,Texas,3,24.95,74.85
2773,2021-08-18,EB505,Delivery Drones,eBooks,1755,Irwinn,Lowdham,Ocala,Florida,5,14.99,74.95
2774,2021-08-18,RS702,MICR-23K Robot,Robots,1177,Alina,Fallow,Des Moines,Iowa,5,899,4495
2775,2021-08-18,TV812,Understanding Raspberry PI,Training Videos,551,Amabelle,Kleinmintz,Littleton,Colorado,3,28.99,86.97
2776,2021-08-18,EB502,Building Your First Robot,eBooks,1179,Hope,Trask,Phoenix,Arizona,1,24.95,24.95
2777,2021-08-18,TV805,Industrial 3D Printing,Training Videos,90,Debee,Syrad,Seattle,Washington,5,49,245
2778,2021-08-18,RS704,RLK-9920 Robot,Robots,1597,Zarla,Fuxman,Trenton,New Jersey,3,699,2097
2779,2021-08-19,TV802,AI for Educators,Training Videos,1687,Lorena,Dibb,Hartford,Connecticut,3,49.95,149.85000000000002
2780,2021-08-19,EB501,Articulated Robots,eBooks,88,Cary,Basterfield,Spartanburg,South Carolina,5,23.99,119.94999999999999
2781,2021-08-20,TV809,Understanding 3D Printing,Training Videos,180,Joyce,Brayshay,Lubbock,Texas,3,42.99,128.97
2782,2021-08-20,RS702,MICR-23K Robot,Robots,1202,Genni,Masic,Greeley,Colorado,4,899,3596
2783,2021-08-20,TV808,Robotic Essentials,Training Videos,444,Lyle,Blunkett,Miami,Florida,2,34.99,69.98
2784,2021-08-20,TV806,Mapping with Drones,Training Videos,2116,Athena,Dunsire,Jacksonville,Florida,4,49,196
2785,2021-08-21,TV801,Aerial Security,Training Videos,1813,Rayshell,Large,Berkeley,California,5,36.99,184.95000000000002
2786,2021-08-21,DK202,BYOD-200,Drone Kits,1656,Malanie,Rollingson,Tyler,Texas,6,58.95,353.70000000000005
2787,2021-08-21,EB520,Understanding Arduino,eBooks,1977,Shannon,Iacapucci,Albuquerque,New Mexico,1,17.5,17.5
2788,2021-08-21,BP109,QuadroCopter Blueprint,Blueprints,1438,Eveleen,Ceney,Maple Plain,Minnesota,3,10.99,32.97
2789,2021-08-22,RK603,BYOR-1500,Robot Kits,373,Marcy,Roderick,Saint Louis,Missouri,4,189,756
2790,2021-08-22,EB511,Helicopter Drones,eBooks,62,Rosemonde,Ivic,Little Rock,Arkansas,2,20.95,41.9
2791,2021-08-22,BP108,Panda Robot Blueprint,Blueprints,1268,Bev,Megainey,Boston,Massachusetts,2,7.99,15.98
2792,2021-08-22,RS704,RLK-9920 Robot,Robots,1526,Townsend,Enoch,Erie,Pennsylvania,4,699,2796
2793,2021-08-22,EB502,Building Your First Robot,eBooks,1957,Vito,Canwell,Houston,Texas,1,24.95,24.95
2794,2021-08-22,RS703,RCB-889 Robot,Robots,1016,Lily,O'Reilly,Winter Haven,Florida,4,549,2196
2795,2021-08-23,EB506,Delta Robots,eBooks,142,Ezequiel,Blakeden,Louisville,Kentucky,5,16.99,84.94999999999999
2796,2021-08-23,DS301,DA-SA702 Drone,Drones,728,Charmian,Vanderson,Chicago,Illinois,2,399,798
2797,2021-08-23,RS706,RWW-75 Robot,Robots,1047,Gary,Beadel,Durham,North Carolina,4,883,3532
2798,2021-08-23,TV810,Understanding Automation,Training Videos,235,Doe,O'Luby,Fairbanks,Alaska,3,44.95,134.85000000000002
2799,2021-08-24,BP108,Panda Robot Blueprint,Blueprints,1997,Win,Ovanesian,Tucson,Arizona,5,7.99,39.95
2800,2021-08-24,EB509,GPS Drones,eBooks,971,Maddy,Baume,Denver,Colorado,4,19.99,79.96
2801,2021-08-24,BP108,Panda Robot Blueprint,Blueprints,1136,Jeniffer,Bernaert,Toledo,Ohio,4,7.99,31.96
2802,2021-08-24,DK206,BYOD-400,Drone Kits,1246,Tarrance,Faye,Jersey City,New Jersey,6,119,714
2803,2021-08-25,EB509,GPS Drones,eBooks,403,Atalanta,Iveans,Springfield,Illinois,3,19.99,59.97
2804,2021-08-25,EB506,Delta Robots,eBooks,1246,Tarrance,Faye,Jersey City,New Jersey,4,16.99,67.96
2805,2021-08-26,TV803,Cloud Computing,Training Videos,1935,Ryun,Tomkinson,Denver,Colorado,2,29.99,59.98
2806,2021-08-26,RS703,RCB-889 Robot,Robots,1413,Stacee,Stollenhof,Colorado Springs,Colorado,6,549,3294
2807,2021-08-26,TV811,Understanding Drone Regulations,Training Videos,1369,Nellie,Itchingham,Port Saint Lucie,Florida,4,27.5,110
2808,2021-08-26,EB507,Drone Building Essentials,eBooks,1440,Melesa,Rosbotham,Jacksonville,Florida,2,13.99,27.98
2809,2021-08-26,RK606,BYOR-3535,Robot Kits,1848,Brantley,Nendick,Fresno,California,2,225,450
2810,2021-08-26,EB511,Helicopter Drones,eBooks,1867,Aura,Carde,Baton Rouge,Louisiana,2,20.95,41.9
2811,2021-08-27,RK603,BYOR-1500,Robot Kits,2009,Desiree,Hennemann,Mount Vernon,New York,4,189,756
2812,2021-08-27,DS303,DTD-7000 Drone,Drones,755,Wandie,Lyness,San Diego,California,4,450,1800
2813,2021-08-28,DK204,BYOD-300,Drone Kits,1865,Xena,Hulle,Charlotte,North Carolina,2,89,178
2814,2021-08-28,TV809,Understanding 3D Printing,Training Videos,1308,Sigvard,Canon,Tacoma,Washington,3,42.99,128.97
2815,2021-08-28,TV812,Understanding Raspberry PI,Training Videos,1831,Merrill,Greenroyd,Phoenix,Arizona,1,28.99,28.99
2816,2021-08-28,BP106,Hexacopter Drone Blueprint,Blueprints,1298,Trish,Lednor,West Palm Beach,Florida,4,8.99,35.96
2817,2021-08-28,DS306,DX-145 Drone,Drones,1838,Dionisio,Van Giffen,Fort Lauderdale,Florida,2,250,500
2818,2021-08-28,BP101,All Eyes Drone Blueprint,Blueprints,2064,Geordie,Stiggers,Saint Petersburg,Florida,3,9.99,29.97
2819,2021-08-28,BP110,Sleepy Eye Blueprint,Blueprints,20,Waylan,Waison,Cedar Rapids,Iowa,6,11.99,71.94
2820,2021-08-28,RK606,BYOR-3535,Robot Kits,1370,Maury,Tarr,Miami,Florida,3,225,675
2821,2021-08-28,EB512,Multi Rotor Drones,eBooks,2092,Costa,Wittrington,Nashville,Tennessee,6,24.95,149.7
2822,2021-08-29,DS303,DTD-7000 Drone,Drones,633,Burnard,Stichel,Garland,Texas,4,450,1800
2823,2021-08-29,EB507,Drone Building Essentials,eBooks,850,Angy,Twiggs,Seattle,Washington,5,13.99,69.95
2824,2021-08-29,TV804,Drone Video Techniques,Training Videos,511,Rona,Kunisch,San Francisco,California,5,37.99,189.95000000000002
2825,2021-08-29,EB508,Fixed Wing Drones,eBooks,1331,Becka,Hegden,Newark,Delaware,2,15.5,31
2826,2021-08-29,EB508,Fixed Wing Drones,eBooks,1676,Alec,Trenfield,Boston,Massachusetts,4,15.5,62
2827,2021-08-29,DS303,DTD-7000 Drone,Drones,1856,Raf,Cokayne,Saint Paul,Minnesota,2,450,900
2828,2021-08-30,EB501,Articulated Robots,eBooks,518,Cassandre,Oldall,Lawrenceville,Georgia,3,23.99,71.97
2829,2021-08-30,RS702,MICR-23K Robot,Robots,1897,Cozmo,Assur,Berkeley,California,5,899,4495
2830,2021-08-30,EB521,Understanding Artificial Intelligence,eBooks,246,Rossie,Ruddle,San Bernardino,California,3,19.5,58.5
2831,2021-08-30,EB504,Cartesian Robots,eBooks,1368,Buck,Meiklam,Birmingham,Alabama,2,12.99,25.98
2832,2021-08-31,RK606,BYOR-3535,Robot Kits,1324,Buddie,Rowles,Madison,Wisconsin,3,225,675
2833,2021-08-31,EB513,Photograph Drones,eBooks,172,Jo,ann Murden,Washington,District of Columbia,3,14.99,44.97
2834,2021-08-31,EB507,Drone Building Essentials,eBooks,455,Ines,Ardling,Houston,Texas,2,13.99,27.98
2835,2021-08-31,EB509,GPS Drones,eBooks,323,Alyda,Lucchi,Houston,Texas,4,19.99,79.96
2836,2021-08-31,DK201,BYOD-100,Drone Kits,1728,Trevar,Arch,Peoria,Illinois,2,54,108
2837,2021-08-31,RK605,BYOR-3000,Robot Kits,1366,Isaiah,Arrol,Philadelphia,Pennsylvania,2,214,428
2838,2021-08-31,BP104,Cat Robot Blueprint,Blueprints,1270,Lynelle,Teal,Schenectady,New York,5,4.99,24.950000000000003
2839,2021-08-31,TV813,Virtual Reality Basics,Training Videos,429,Gerard,Boutell,Woburn,Massachusetts,3,29.99,89.97
2840,2021-09-01,RS702,MICR-23K Robot,Robots,1819,Dehlia,Gaiter,Albany,Georgia,4,899,3596
2841,2021-09-01,BP102,Bsquare Robot Blueprint,Blueprints,1489,Nixie,Corday,Philadelphia,Pennsylvania,3,8.99,26.97
2842,2021-09-01,BP107,Ladybug Robot Blueprint,Blueprints,286,Berty,Blodg,Trenton,New Jersey,4,12,48
2843,2021-09-01,TV806,Mapping with Drones,Training Videos,570,Tomasina,Belbin,Berkeley,California,5,49,245
2844,2021-09-01,DS307,MICR-564K Drone,Drones,230,Angelika,Purchon,London,Kentucky,2,499,998
2845,2021-09-02,EB521,Understanding Artificial Intelligence,eBooks,137,Silvester,Siseland,Lake Charles,Louisiana,2,19.5,39
2846,2021-09-02,DK204,BYOD-300,Drone Kits,627,Wood,Gallager,Oklahoma City,Oklahoma,3,89,267
2847,2021-09-02,TV808,Robotic Essentials,Training Videos,1534,Doro,Elnor,Peoria,Illinois,1,34.99,34.99
2848,2021-09-03,DK204,BYOD-300,Drone Kits,314,Morgen,Meneer,Daytona Beach,Florida,3,89,267
2849,2021-09-03,BP110,Sleepy Eye Blueprint,Blueprints,700,Roobbie,Dermot,Washington,District of Columbia,5,11.99,59.95
2850,2021-09-03,TV803,Cloud Computing,Training Videos,785,Fairleigh,Spencley,Chicago,Illinois,5,29.99,149.95
2851,2021-09-03,RK604,BYOR-2640S,Robot Kits,140,Caren,Bass,Greeley,Colorado,6,189,1134
2852,2021-09-03,RK606,BYOR-3535,Robot Kits,652,Jack,Dobby,Sacramento,California,3,225,675
2853,2021-09-03,DS307,MICR-564K Drone,Drones,1934,Isabel,Soro,Sioux Falls,South Dakota,4,499,1996
2854,2021-09-04,TV806,Mapping with Drones,Training Videos,1670,Sherry,McFarlan,Orlando,Florida,5,49,245
2855,2021-09-04,EB501,Articulated Robots,eBooks,1386,Miltie,Menlove,Fresno,California,6,23.99,143.94
2856,2021-09-04,BP110,Sleepy Eye Blueprint,Blueprints,1291,Alexei,Southall,Daytona Beach,Florida,2,11.99,23.98
2857,2021-09-04,TV802,AI for Educators,Training Videos,1088,Leela,Wisniewski,Kansas City,Kansas,3,49.95,149.85000000000002
2858,2021-09-04,RS705,RQTE-554 Robot,Robots,1853,Siobhan,Sabbatier,Rochester,New York,2,684,1368
2859,2021-09-05,EB520,Understanding Arduino,eBooks,1855,Aguste,Woolatt,Chattanooga,Tennessee,3,17.5,52.5
2860,2021-09-05,RS706,RWW-75 Robot,Robots,649,Pooh,Harlick,Pasadena,California,6,883,5298
2861,2021-09-05,EB516,RTF Drones,eBooks,286,Berty,Blodg,Trenton,New Jersey,5,16.99,84.94999999999999
2862,2021-09-05,RK605,BYOR-3000,Robot Kits,1559,Gunner,Malbon,Louisville,Kentucky,3,214,642
2863,2021-09-05,RS707,RXW-9807 Robot,Robots,1037,Arlinda,Hegge,Columbus,Ohio,2,599,1198
2864,2021-09-06,EB514,Polar Robots,eBooks,261,Raff,Levay,Lake Worth,Florida,1,23.99,23.99
2865,2021-09-06,EB501,Articulated Robots,eBooks,1284,Harriette,Cuckoo,Washington,District of Columbia,4,23.99,95.96
2866,2021-09-06,RK602,BYOR-1000,Robot Kits,471,Torrie,Coytes,Monticello,Minnesota,3,189,567
2867,2021-09-06,DK206,BYOD-400,Drone Kits,1151,Garland,Agius,Houston,Texas,3,119,357
2868,2021-09-07,BP104,Cat Robot Blueprint,Blueprints,387,Nissie,McSperron,Los Angeles,California,4,4.99,19.96
2869,2021-09-07,EB513,Photograph Drones,eBooks,1574,Felicle,Mundford,Arlington,Virginia,5,14.99,74.95
2870,2021-09-07,BP101,All Eyes Drone Blueprint,Blueprints,500,Ingamar,Johanning,Kansas City,Kansas,2,9.99,19.98
2871,2021-09-07,DS304,DTE-QFN20 Drone,Drones,1404,Harvey,Mallows,Cincinnati,Ohio,6,250,1500
2872,2021-09-07,EB511,Helicopter Drones,eBooks,1287,Virginie,Fadian,Jamaica,New York,6,20.95,125.69999999999999
2873,2021-09-07,DS304,DTE-QFN20 Drone,Drones,230,Angelika,Purchon,London,Kentucky,3,250,750
2874,2021-09-08,DS305,DTI-84 Drone,Drones,2052,Andree,Vango,Detroit,Michigan,6,455,2730
2875,2021-09-08,DK201,BYOD-100,Drone Kits,14,Jorgan,Gregh,Tampa,Florida,3,54,162
2876,2021-09-09,BP106,Hexacopter Drone Blueprint,Blueprints,92,Mariel,Silbermann,Detroit,Michigan,5,8.99,44.95
2877,2021-09-09,EB519,Spherical Robots,eBooks,177,Merell,Mushet,Baton Rouge,Louisiana,4,16.75,67
2878,2021-09-09,EB513,Photograph Drones,eBooks,1490,Benyamin,Armfirld,Seattle,Washington,4,14.99,59.96
2879,2021-09-09,DK207,BYOD-400S,Drone Kits,1048,Cole,Harriman,York,Pennsylvania,6,129.95,779.6999999999999
2880,2021-09-09,TV805,Industrial 3D Printing,Training Videos,224,Terri-jo,Shaplin,Springfield,Ohio,4,49,196
2881,2021-09-10,DK203,BYOD-220,Drone Kits,1815,Emily,McMurdo,Topeka,Kansas,5,69,345
2882,2021-09-10,EB513,Photograph Drones,eBooks,751,Wayne,Pailin,Pittsburgh,Pennsylvania,1,14.99,14.99
2883,2021-09-10,RK606,BYOR-3535,Robot Kits,718,Krissie,Krienke,Hampton,Virginia,5,225,1125
2884,2021-09-10,DK202,BYOD-200,Drone Kits,205,Georgianna,Harrild,Amarillo,Texas,3,58.95,176.85000000000002
2885,2021-09-11,DK208,BYOD-500,Drone Kits,24,Worden,Gobeau,Reno,Nevada,3,167,501
2886,2021-09-11,DK209,BYOD-550,Drone Kits,2000,Rhoda,Bagge,Saint Paul,Minnesota,3,179,537
2887,2021-09-11,DK203,BYOD-220,Drone Kits,349,Cherilyn,Chimenti,Albany,New York,4,69,276
2888,2021-09-12,RS706,RWW-75 Robot,Robots,1187,Mahmud,Mitroshinov,San Francisco,California,4,883,3532
2889,2021-09-12,EB517,SCARA Robots,eBooks,1282,Trueman,Zanneli,Lubbock,Texas,4,19.5,78
2890,2021-09-12,EB516,RTF Drones,eBooks,1630,Lonni,Lockner,Lubbock,Texas,3,16.99,50.97
2891,2021-09-13,EB501,Articulated Robots,eBooks,1648,Alec,Christol,Charleston,South Carolina,5,23.99,119.94999999999999
2892,2021-09-14,RS705,RQTE-554 Robot,Robots,1656,Malanie,Rollingson,Tyler,Texas,2,684,1368
2893,2021-09-14,RS707,RXW-9807 Robot,Robots,976,Nicolai,Wardrop,Grand Rapids,Michigan,5,599,2995
2894,2021-09-14,DK203,BYOD-220,Drone Kits,792,Garret,Pritchett,Jackson,Mississippi,1,69,69
2895,2021-09-14,DS307,MICR-564K Drone,Drones,862,Myrah,Smullen,Charlotte,North Carolina,3,499,1497
2896,2021-09-15,RK605,BYOR-3000,Robot Kits,1880,Drona,Levermore,New York City,New York,3,214,642
2897,2021-09-16,RS702,MICR-23K Robot,Robots,1441,Efren,Corley,Carson City,Nevada,3,899,2697
2898,2021-09-16,EB521,Understanding Artificial Intelligence,eBooks,1227,Ravid,Scoines,Madison,Wisconsin,2,19.5,39
2899,2021-09-16,RK605,BYOR-3000,Robot Kits,2091,Byram,Scollick,Lexington,Kentucky,5,214,1070
2900,2021-09-16,RS704,RLK-9920 Robot,Robots,1406,Daphene,Torrecilla,Charlotte,North Carolina,6,699,4194
2901,2021-09-16,EB508,Fixed Wing Drones,eBooks,2032,Jess,Heindrick,Dallas,Texas,2,15.5,31
2902,2021-09-17,RK607,BYOR-4005,Robot Kits,1441,Efren,Corley,Carson City,Nevada,2,245,490
2903,2021-09-17,EB512,Multi Rotor Drones,eBooks,856,Trudy,Leishman,Pensacola,Florida,2,24.95,49.9
2904,2021-09-17,DK203,BYOD-220,Drone Kits,853,Sherwood,Waddingham,Prescott,Arizona,5,69,345
2905,2021-09-17,TV807,Open Source Code,Training Videos,248,Archy,Crohan,Fairfield,Connecticut,3,32.95,98.85000000000001
2906,2021-09-17,RS702,MICR-23K Robot,Robots,358,Ethelred,Cleworth,Columbus,Ohio,3,899,2697
2907,2021-09-17,EB506,Delta Robots,eBooks,967,Loria,Breukelman,Evansville,Indiana,2,16.99,33.98
2908,2021-09-17,DK209,BYOD-550,Drone Kits,504,Derrek,Shalloo,Yakima,Washington,3,179,537
2909,2021-09-18,DK205,BYOD-350,Drone Kits,1792,Beret,Kleanthous,Evansville,Indiana,3,89.95,269.85
2910,2021-09-18,DK201,BYOD-100,Drone Kits,1478,Duffie,Wolton,San Diego,California,3,54,162
2911,2021-09-18,RS704,RLK-9920 Robot,Robots,1562,Margaux,Danielis,Savannah,Georgia,2,699,1398
2912,2021-09-19,EB507,Drone Building Essentials,eBooks,636,Marena,Plewman,Schenectady,New York,5,13.99,69.95
2913,2021-09-19,EB513,Photograph Drones,eBooks,1931,Blinny,Worsall,Washington,District of Columbia,1,14.99,14.99
2914,2021-09-20,TV810,Understanding Automation,Training Videos,1179,Hope,Trask,Phoenix,Arizona,4,44.95,179.8
2915,2021-09-20,EB516,RTF Drones,eBooks,1832,Ariel,Brogan,Corpus Christi,Texas,4,16.99,67.96
2916,2021-09-20,TV805,Industrial 3D Printing,Training Videos,104,Binky,Escale,Los Angeles,California,4,49,196
2917,2021-09-21,DK201,BYOD-100,Drone Kits,1406,Daphene,Torrecilla,Charlotte,North Carolina,5,54,270
2918,2021-09-21,BP102,Bsquare Robot Blueprint,Blueprints,2079,Herb,Antonetti,Chattanooga,Tennessee,1,8.99,8.99
2919,2021-09-21,BP101,All Eyes Drone Blueprint,Blueprints,1008,Gui,Pirnie,Dayton,Ohio,3,9.99,29.97
2920,2021-09-21,TV810,Understanding Automation,Training Videos,539,Roxie,Galea,Daytona Beach,Florida,5,44.95,224.75
2921,2021-09-21,RS707,RXW-9807 Robot,Robots,372,Lanni,Hyder,Oakland,California,6,599,3594
2922,2021-09-22,EB505,Delivery Drones,eBooks,616,Alford,Roddy,Grand Rapids,Michigan,6,14.99,89.94
2923,2021-09-23,DS305,DTI-84 Drone,Drones,308,Babara,Abrahamsson,Philadelphia,Pennsylvania,2,455,910
2924,2021-09-24,TV810,Understanding Automation,Training Videos,868,Bobby,Froom,Salt Lake City,Utah,6,44.95,269.70000000000005
2925,2021-09-24,RS704,RLK-9920 Robot,Robots,758,Fraser,Wardroper,Riverside,California,5,699,3495
2926,2021-09-24,BP108,Panda Robot Blueprint,Blueprints,1125,Carmelia,Rohfsen,Lakeland,Florida,2,7.99,15.98
2927,2021-09-24,EB504,Cartesian Robots,eBooks,1880,Drona,Levermore,New York City,New York,3,12.99,38.97
2928,2021-09-24,RK603,BYOR-1500,Robot Kits,1579,Louie,Phetteplace,Brockton,Massachusetts,2,189,378
2929,2021-09-24,RK602,BYOR-1000,Robot Kits,1549,Harlan,Faulconer,Galveston,Texas,4,189,756
2930,2021-09-25,EB518,Single Rotor Drones,eBooks,460,Shaun,Souttar,Austin,Texas,1,14.99,14.99
2931,2021-09-25,DK209,BYOD-550,Drone Kits,186,Nathanial,Hagland,Tucson,Arizona,5,179,895
2932,2021-09-25,TV803,Cloud Computing,Training Videos,860,Thebault,Bust,Grand Rapids,Michigan,3,29.99,89.97
2933,2021-09-25,TV802,AI for Educators,Training Videos,505,Cornela,Bunnell,Memphis,Tennessee,3,49.95,149.85000000000002
2934,2021-09-25,DK207,BYOD-400S,Drone Kits,843,Sharleen,Ricciardo,San Angelo,Texas,2,129.95,259.9
2935,2021-09-25,EB509,GPS Drones,eBooks,1872,Allissa,Johananov,Seattle,Washington,2,19.99,39.98
2936,2021-09-26,DS305,DTI-84 Drone,Drones,435,Peterus,Gaskal,Flushing,New York,5,455,2275
2937,2021-09-26,EB520,Understanding Arduino,eBooks,995,Arvy,Farris,San Jose,California,2,17.5,35
2938,2021-09-27,BP102,Bsquare Robot Blueprint,Blueprints,311,Ashlen,Boakes,Metairie,Louisiana,2,8.99,17.98
2939,2021-09-27,BP110,Sleepy Eye Blueprint,Blueprints,725,Siouxie,Chattington,Chattanooga,Tennessee,2,11.99,23.98
2940,2021-09-27,RS707,RXW-9807 Robot,Robots,1292,Scottie,Winear,Valley Forge,Pennsylvania,4,599,2396
2941,2021-09-27,BP102,Bsquare Robot Blueprint,Blueprints,795,Collete,Corbitt,Oakland,California,6,8.99,53.94
2942,2021-09-28,DS307,MICR-564K Drone,Drones,576,Debor,Agronski,Clearwater,Florida,2,499,998
2943,2021-09-28,BP110,Sleepy Eye Blueprint,Blueprints,815,Jake,Zellick,Washington,District of Columbia,3,11.99,35.97
2944,2021-09-28,RS702,MICR-23K Robot,Robots,907,Myrtia,Scupham,El Paso,Texas,4,899,3596
2945,2021-09-29,EB519,Spherical Robots,eBooks,423,Em,Blackader,Stockton,California,2,16.75,33.5
2946,2021-09-29,EB516,RTF Drones,eBooks,1346,Cyndia,Gunny,Tallahassee,Florida,3,16.99,50.97
2947,2021-09-29,TV803,Cloud Computing,Training Videos,726,Anne-marie,Guion,Houston,Texas,4,29.99,119.96
2948,2021-09-29,EB513,Photograph Drones,eBooks,817,Ajay,Albers,Ventura,California,5,14.99,74.95
2949,2021-09-30,BP108,Panda Robot Blueprint,Blueprints,1385,Annadiana,Belch,Flint,Michigan,1,7.99,7.99
2950,2021-09-30,DS305,DTI-84 Drone,Drones,1795,Peter,Farryann,Trenton,New Jersey,3,455,1365
2951,2021-09-30,EB503,Building Your Own Drone,eBooks,529,Ynes,Tuson,Chicago,Illinois,6,24.99,149.94
2952,2021-09-30,DS303,DTD-7000 Drone,Drones,1854,Ermengarde,Holleworth,Richmond,Virginia,4,450,1800
2953,2021-10-01,EB521,Understanding Artificial Intelligence,eBooks,1180,Hannie,Furnival,Round Rock,Texas,2,19.5,39
2954,2021-10-01,DK205,BYOD-350,Drone Kits,206,Buiron,Haycock,Sioux Falls,South Dakota,3,89.95,269.85
2955,2021-10-02,TV801,Aerial Security,Training Videos,481,Bobbie,Tomczynski,Minneapolis,Minnesota,4,36.99,147.96
2956,2021-10-02,DS307,MICR-564K Drone,Drones,112,Myriam,Ravenscroftt,Omaha,Nebraska,4,499,1996
2957,2021-10-03,DK208,BYOD-500,Drone Kits,224,Terri-jo,Shaplin,Springfield,Ohio,4,167,668
2958,2021-10-03,DK201,BYOD-100,Drone Kits,1354,Tailor,Pride,Buffalo,New York,4,54,216
2959,2021-10-03,EB521,Understanding Artificial Intelligence,eBooks,911,Charmine,Eyers,El Paso,Texas,4,19.5,78
2960,2021-10-03,RK603,BYOR-1500,Robot Kits,1446,Joyce,Harborow,Dayton,Ohio,2,189,378
2961,2021-10-03,DS306,DX-145 Drone,Drones,585,Latia,Lamport,San Diego,California,3,250,750
2962,2021-10-03,BP102,Bsquare Robot Blueprint,Blueprints,944,Alley,Crellin,Cincinnati,Ohio,3,8.99,26.97
2963,2021-10-03,EB512,Multi Rotor Drones,eBooks,2077,Tracie,O'Keaveny,Houston,Texas,4,24.95,99.8
2964,2021-10-04,DS304,DTE-QFN20 Drone,Drones,301,Charmaine,Bitcheno,Houston,Texas,3,250,750
2965,2021-10-04,EB518,Single Rotor Drones,eBooks,1523,Stephan,Elliott,Wichita,Kansas,4,14.99,59.96
2966,2021-10-04,EB519,Spherical Robots,eBooks,1623,Jerry,Nizet,Dearborn,Michigan,3,16.75,50.25
2967,2021-10-04,EB511,Helicopter Drones,eBooks,2070,Ronnie,Duckhouse,Washington,District of Columbia,2,20.95,41.9
2968,2021-10-04,EB518,Single Rotor Drones,eBooks,1098,Yves,Althrop,Milwaukee,Wisconsin,4,14.99,59.96
2969,2021-10-05,EB520,Understanding Arduino,eBooks,254,Megen,Colborn,Canton,Ohio,4,17.5,70
2970,2021-10-05,EB520,Understanding Arduino,eBooks,254,Megen,Colborn,Canton,Ohio,2,17.5,35
2971,2021-10-05,DS307,MICR-564K Drone,Drones,1239,Jaquenetta,Matignon,El Paso,Texas,4,499,1996
2972,2021-10-05,EB514,Polar Robots,eBooks,1330,Cilka,Bonifant,El Paso,Texas,2,23.99,47.98
2973,2021-10-05,EB506,Delta Robots,eBooks,1997,Win,Ovanesian,Tucson,Arizona,3,16.99,50.97
2974,2021-10-06,RK602,BYOR-1000,Robot Kits,1266,John,Nowland,Schenectady,New York,4,189,756
2975,2021-10-06,BP110,Sleepy Eye Blueprint,Blueprints,543,Mikol,Yitzhak,Philadelphia,Pennsylvania,4,11.99,47.96
2976,2021-10-06,TV812,Understanding Raspberry PI,Training Videos,176,Ignazio,Sipson,Mobile,Alabama,1,28.99,28.99
2977,2021-10-07,EB509,GPS Drones,eBooks,668,Kristofer,Kneath,San Antonio,Texas,6,19.99,119.94
2978,2021-10-07,TV810,Understanding Automation,Training Videos,2062,Arlin,Relf,Pittsburgh,Pennsylvania,1,44.95,44.95
2979,2021-10-07,RK606,BYOR-3535,Robot Kits,1022,Kevina,Richmond,Fort Smith,Arkansas,4,225,900
2980,2021-10-08,EB516,RTF Drones,eBooks,2038,Adams,Zimmermanns,Gilbert,Arizona,4,16.99,67.96
2981,2021-10-08,DS302,DC-304 Drone,Drones,2026,Purcell,Wickey,Young America,Minnesota,4,395,1580
2982,2021-10-08,RK605,BYOR-3000,Robot Kits,81,Linnet,Bleiman,Tampa,Florida,5,214,1070
2983,2021-10-09,BP106,Hexacopter Drone Blueprint,Blueprints,165,Wells,Grieveson,Torrance,California,3,8.99,26.97
2984,2021-10-09,EB505,Delivery Drones,eBooks,1005,Pearl,Rollason,Lancaster,California,1,14.99,14.99
2985,2021-10-09,RK607,BYOR-4005,Robot Kits,1565,Ward,Kilcullen,Lancaster,Pennsylvania,4,245,980
2986,2021-10-09,TV806,Mapping with Drones,Training Videos,1061,Bernita,Zahor,Des Moines,Iowa,4,49,196
2987,2021-10-09,TV803,Cloud Computing,Training Videos,1030,Tove,Gianilli,Nashville,Tennessee,5,29.99,149.95
2988,2021-10-10,TV813,Virtual Reality Basics,Training Videos,1132,Diana,Sollett,Richmond,Virginia,2,29.99,59.98
2989,2021-10-10,RK606,BYOR-3535,Robot Kits,255,Ethelin,Chapell,Saint Paul,Minnesota,5,225,1125
2990,2021-10-10,EB521,Understanding Artificial Intelligence,eBooks,1557,Filmore,Reay,Edmond,Oklahoma,3,19.5,58.5
